상품군별,범위별,2017,2018,2019,2020,2021,단위:백만원
의복,계,11875368,13198349,14746241,14892250,16642832,
의복,종합몰,6745565,7459584,7947339,8000288,8304402,
의복,전문몰,5129803,5738765,6798902,6891962,8338430,
신발,계,1714217,1886640,2420532,2566775,2883271,
신발,종합몰,1270238,1300763,1427009,1571369,1618335,
신발,전문몰,443979,585877,993523,995406,1264936,
가방,계,1924482,2227209,2672587,2718082,3241765,
가방,종합몰,1679709,1971531,2310455,2311346,2791525,
가방,전문몰,244773,255678,362132,406736,450240,
패션용품 및 액세서리,계,2028424,2336848,2571959,2214371,2429463,
패션용품 및 액세서리,종합몰,1682164,1921509,2036937,1684392,1873666,
패션용품 및 액세서리,전문몰,346260,415339,535022,529979,555797,
