상품군별,판매매체별,2017,2018,2019,2020,2021,단위:백만원
의복,계,11875368,13198349,14746241,14892250,16642832,
의복,인터넷쇼핑,5182438,5201553,5570561,5063583,5190432,
의복,모바일쇼핑,6692928,7996798,9175681,9828667,11452397,
신발,계,1714217,1886640,2420532,2566775,2883271,
신발,인터넷쇼핑,608932,610793,926093,873088,1020831,
신발,모바일쇼핑,1105286,1275844,1494440,1693687,1862441,
가방,계,1924482,2227209,2672587,2718082,3241765,
가방,인터넷쇼핑,571992,565730,642176,613108,624441,
가방,모바일쇼핑,1352492,1661479,2030410,2104976,2617324,
패션용품 및 액세서리,계,2028424,2336848,2571959,2214371,2429463,
패션용품 및 액세서리,인터넷쇼핑,749522,778891,795317,657731,630573,
패션용품 및 액세서리,모바일쇼핑,1278900,1557957,1776642,1556637,1798889,
